pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2022-10-05,83.3,-2.47,5.81,"Ohtani, Shohei",672478,660271,,foul,,,,,5.0,,R,R,R,ATH,LAA,S,,,1,0,2022,0.82,0.39,-0.1414415486854287,2.660247088908377,,,,0,5,Bot,,,,,,,3.755135048290149,-121.24751237433404,-1.4910815787677287,7.215798176380155,26.060363116576823,-28.275484879117208,3.301,1.504,115.0,70.9,6.0,83.5,2369.0,6.6,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.9,,,,,,,,32,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,65.0,-0.006,-0.048,,,,,0.048,88.0,0,0,0.572,0.572,27,21,28,22,2,1,6.0,2.0,,,2.92,-0.82,-0.82,35.1,,,,,
ST,2022-10-05,83.6,-2.47,5.79,"Ohtani, Shohei",672478,660271,,ball,,,,,13.0,,R,R,R,ATH,LAA,B,,,0,0,2022,0.74,0.06,-0.156425686435804,0.9209410648586234,,,,0,5,Bot,,,,,,,3.888280918569901,-121.54507027095504,-4.8735253564961045,6.480936637034877,25.964389921661773,-30.72147578270176,3.33626545697628,1.57937496594913,,,,83.8,2304.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.84,,,,,,,,32,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,70.0,0.005,0.037,,,,,-0.037,,0,0,0.567,0.567,27,21,28,22,2,1,6.0,2.0,,,3.23,-0.74,-0.74,33.6,,,,,
FF,2022-10-05,99.6,-2.15,5.95,"Ohtani, Shohei",664913,660271,field_out,hit_into_play,,,,,5.0,"Seth Brown grounds out, shortstop Livan Soto to first baseman Matt Duffy.",R,L,R,ATH,LAA,X,6.0,ground_ball,1,0,2022,-0.7,0.87,-0.1318919388661172,2.692987842270381,,,,2,4,Bot,139.53,150.13,,,,,7.254642536058494,-144.76211510607806,-5.57874692191657,-11.545214134796312,35.929965594818576,-18.84230790172619,3.51,1.73,11.0,96.8,-12.0,100.2,2169.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.68,0.212,0.195,0.0,1.0,0.0,0.0,2.0,27,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,209.0,-0.014,-0.296,,,,0.254,0.296,96.8,0,0,0.514,0.514,27,29,28,30,2,1,6.0,1.0,,,1.45,0.7,-0.7,38.1,,,,,
CU,2022-10-05,68.4,-1.77,6.47,"Ohtani, Shohei",664913,660271,,ball,,,,,14.0,,R,L,R,ATH,LAA,B,,,0,0,2022,0.97,-1.35,1.7106253026085283,1.3509657025111412,,,,2,4,Bot,,,,,,,5.0047788030483975,-99.3851057380677,0.5618983126451498,5.419640902782164,18.627007404366253,-41.38172123097964,3.43406908839473,1.65690603225078,,,,68.1,2280.0,6.5,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.96,,,,,,,,27,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,29.0,0.001,0.04,,,,,-0.04,,0,0,0.513,0.513,27,29,28,30,2,1,6.0,1.0,,,6.31,-0.97,0.97,53.4,,,,,
SI,2022-10-05,96.9,-2.45,5.69,"Ohtani, Shohei",669221,660271,field_out,hit_into_play,,,,,4.0,"Sean Murphy grounds out, second baseman David Fletcher to first baseman Matt Duffy.",R,R,R,ATH,LAA,X,4.0,ground_ball,1,1,2022,-1.11,0.36,-0.7826548401115385,2.7675929697560715,,,,1,4,Bot,143.08,155.72,,,,,7.079538745739408,-140.9517204266293,-3.141818950483677,-16.434719237185874,30.204951890290737,-26.83467554802447,3.51,1.7,24.0,79.3,-4.0,98.0,1882.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.68,0.075,0.073,0.0,1.0,0.0,0.0,2.0,26,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,219.0,-0.019,-0.234,,,,0.094,0.234,88.0,0,0,0.532,0.532,27,27,28,28,2,1,6.0,1.0,,,2.06,1.11,1.11,35.3,,,,,
SI,2022-10-05,95.8,-2.33,5.77,"Ohtani, Shohei",669221,660271,,foul_tip,,,,,1.0,,R,R,R,ATH,LAA,S,,,1,0,2022,-1.21,0.26,-0.6685963800061705,3.067082143520037,,,,1,4,Bot,,,,,,,7.187417617805871,-139.4543066666546,-2.184378165457528,-17.366806030038326,29.27124856763664,-28.43719782091682,3.51,1.7,,,,97.0,1792.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.69,,,,,,,,26,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,216.0,-0.004,-0.049,,,,,0.049,,0,0,0.536,0.536,27,27,28,28,2,1,6.0,1.0,,,2.2,1.21,1.21,34.8,,,,,
SI,2022-10-05,98.3,-2.24,5.84,"Ohtani, Shohei",669221,660271,,ball,,,,,13.0,,R,R,R,ATH,LAA,B,,,0,0,2022,-1.31,0.42,-0.2682952424212583,1.1654215486717552,,,,1,4,Bot,,,,,,,8.454200103051352,-142.90501126270905,-8.306310641023432,-19.77258365473818,28.888859815981395,-24.843188997462946,3.59069748128063,1.65690603225078,,,,99.8,1831.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.62,,,,,,,,26,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,218.0,0.003,0.036,,,,,-0.036,,0,0,0.533,0.533,27,27,28,28,2,1,6.0,1.0,,,1.92,1.31,1.31,36.2,,,,,
SL,2022-10-05,86.4,-2.06,6.29,"Ohtani, Shohei",643393,660271,field_out,hit_into_play,,,,,7.0,Tony Kemp lines out to left fielder Jo Adell.,R,L,R,ATH,LAA,X,7.0,line_drive,1,2,2022,0.41,-0.2,-0.7639450515668894,1.7754846778245796,,,,0,4,Bot,52.64,90.68,,,,,2.2705802686060745,-125.7840107811755,-4.13768274481807,3.8946553257942353,25.71272206057428,-33.70142774509364,3.25,1.52,323.0,94.5,24.0,86.8,2374.0,6.5,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.97,0.174,0.223,0.0,1.0,0.0,0.0,5.0,25,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,68.0,-0.019,-0.176,,,,0.368,0.176,94.5,0,0,0.552,0.552,27,30,28,31,2,1,6.0,1.0,,,3.26,-0.41,0.41,46.2,,,,,
FC,2022-10-05,90.6,-2.51,5.76,"Ohtani, Shohei",643393,660271,,foul,,,,,9.0,,R,L,R,ATH,LAA,S,,,1,1,2022,0.35,0.44,0.607349476687672,1.6998475722704367,,,,0,4,Bot,,,,,,,7.097730162759824,-131.85037478017097,-5.211835737342562,2.731184883518125,26.372204251176328,-26.20381851338579,3.25,1.52,3.0,90.7,-30.0,91.6,2422.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.73,,,,,,,,25,3,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard,115.0,-0.007,-0.06,,,,,0.06,90.7,0,0,0.559,0.559,27,30,28,31,2,1,6.0,1.0,,,2.33,-0.35,0.35,33.3,,,,,
FC,2022-10-05,87.3,-2.43,5.93,"Ohtani, Shohei",643393,660271,,foul,,,,,9.0,,R,L,R,ATH,LAA,S,,,1,0,2022,0.2,0.31,0.7037191082430542,1.7559521726716585,,,,0,4,Bot,,,,,,,7.166402344006992,-126.973369850621,-4.570298329185755,0.7903368525573744,25.2565673300457,-28.03415160168662,3.25,1.52,7.0,86.5,-15.0,88.0,2153.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.81,,,,,,,,25,2,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard,150.0,-0.005,-0.048,,,,,0.048,88.0,0,0,0.564,0.564,27,30,28,31,2,1,6.0,1.0,,,2.67,-0.2,0.2,37.7,,,,,
